iter	Passed	Remaining
552	12382	1052
553	12410	1030
554	12432	1008
555	12459	986
556	12487	964
557	12507	941
558	12537	919
559	12562	897
560	12582	874
561	12604	852
562	12632	830
563	12662	808
564	12689	786
565	12708	763
566	12741	741
567	12763	719
568	12787	696
569	12815	674
570	12839	652
571	12865	629
572	12882	607
573	12907	584
574	12936	562
575	12960	540
576	12983	517
577	13009	495
578	13032	472
579	13058	450
580	13087	427
581	13115	405
582	13141	383
583	13167	360
584	13194	338
585	13221	315
586	13250	293
587	13273	270
588	13293	248
589	13312	225
590	13335	203
591	13363	180
592	13387	158
593	13409	135
594	13434	112
595	13455	90
596	13477	67
597	13499	45
598	13526	22
599	13548	0
